title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
"Cérémonie, La (1995)",4.0,3,-,-,-,-
D3: The Mighty Ducks (1996),2.5789473684210527,19,Strictly Ballroom (1992),In & Out (1997),Seven Years in Tibet (1997),"Great Escape, The (1963)"
Dadetown (1995),3.0,1,-,-,-,-
Daens (1992),1.0,1,-,-,-,-
"Damsel in Distress, A (1937)",4.0,1,-,-,-,-
Dances with Wolves (1990),3.79296875,256,Amistad (1997),"Rainmaker, The (1997)","Last of the Mohicans, The (1992)",Outbreak (1995)
Dangerous Beauty (1998),3.769230769230769,13,"Right Stuff, The (1983)",Miracle on 34th Street (1994),Dave (1993),Fried Green Tomatoes (1991)
Dangerous Ground (1997),1.75,8,Much Ado About Nothing (1993),Happy Gilmore (1996),Indiana Jones and the Last Crusade (1989),Top Gun (1986)
Dangerous Minds (1995),3.3404255319148937,47,Everyone Says I Love You (1996),"Time to Kill, A (1996)",Grumpier Old Men (1995),Emma (1996)
Daniel Defoe's Robinson Crusoe (1996),3.0,2,"Firm, The (1993)","Shawshank Redemption, The (1994)",Conan the Barbarian (1981),It's a Wonderful Life (1946)
Dante's Peak (1997),2.933333333333333,240,"Craft, The (1996)",Volcano (1997),"Peacemaker, The (1997)",Jungle2Jungle (1997)
Dark City (1998),3.5,16,"Godfather, The (1972)",Back to the Future (1985),Singin' in the Rain (1952),GoodFellas (1990)
Dave (1993),3.65,180,"American President, The (1995)",Donnie Brasco (1997),G.I. Jane (1997),In the Line of Fire (1993)
"Davy Crockett, King of the Wild Frontier (1955)",2.909090909090909,11,Wag the Dog (1997),Cinema Paradiso (1988),Clerks (1994),Apt Pupil (1998)
"Day the Earth Stood Still, The (1951)",3.9381443298969074,97,Dave (1993),Ghost (1990),Down Periscope (1996),Donnie Brasco (1997)
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0,2,L.A. Confidential (1997),Air Force One (1997),Contact (1997),"Long Kiss Goodnight, The (1996)"
Daylight (1996),2.7719298245614037,57,"Maltese Falcon, The (1941)",In the Name of the Father (1993),Ulee's Gold (1997),Young Guns (1988)
Days of Thunder (1990),2.7169811320754715,53,Kingpin (1996),Seven Years in Tibet (1997),"Wrong Trousers, The (1993)",Lost Highway (1997)
"Daytrippers, The (1996)",3.6666666666666665,15,"Net, The (1995)",Happy Gilmore (1996),Ghost (1990),"Lion King, The (1994)"
Dazed and Confused (1993),3.46875,64,Ulee's Gold (1997),On Golden Pond (1981),G.I. Jane (1997),"Room with a View, A (1986)"
Dead Man (1995),3.823529411764706,34,Bonnie and Clyde (1967),Rosewood (1997),"Peacemaker, The (1997)",Dante's Peak (1997)
Dead Man Walking (1995),3.8963210702341136,299,Pink Floyd - The Wall (1982),Boogie Nights (1997),Wag the Dog (1997),Chinatown (1974)
Dead Poets Society (1989),3.9163346613545817,251,Sleepless in Seattle (1993),Pretty Woman (1990),William Shakespeare's Romeo and Juliet (1996),Real Genius (1985)
Dead Presidents (1995),2.7222222222222223,18,George of the Jungle (1997),101 Dalmatians (1996),Cinema Paradiso (1988),Lost Highway (1997)
Dear God (1996),2.5,12,"Bridge on the River Kwai, The (1957)",Cop Land (1997),Jackie Chan's First Strike (1996),M*A*S*H (1970)
Death and the Maiden (1994),3.4285714285714284,28,"Wrong Trousers, The (1993)",Bram Stoker's Dracula (1992),"Rainmaker, The (1997)",Rosewood (1997)
Death in Brunswick (1991),4.0,1,-,-,-,-
"Death in the Garden (Mort en ce jardin, La) (1956)",1.0,1,-,-,-,-
Deceiver (1997),2.8275862068965516,29,Scream 2 (1997),"Ice Storm, The (1997)",Stargate (1994),Down Periscope (1996)
Deconstructing Harry (1997),3.4,65,My Left Foot (1989),"Cable Guy, The (1996)",This Is Spinal Tap (1984),Mighty Aphrodite (1995)
Deep Rising (1998),2.4285714285714284,14,Secrets & Lies (1996),"Ghost and the Darkness, The (1996)","Good, The Bad and The Ugly, The (1966)",Monty Python's Life of Brian (1979)
"Deer Hunter, The (1978)",3.8333333333333335,120,Cop Land (1997),Fly Away Home (1996),Kolya (1996),"Long Kiss Goodnight, The (1996)"
Delicatessen (1991),3.876923076923077,65,"Wrong Trousers, The (1993)",Rosewood (1997),Benny & Joon (1993),"Good, The Bad and The Ugly, The (1966)"
Delta of Venus (1994),3.0,2,Babe (1995),Butch Cassidy and the Sundance Kid (1969),"Deer Hunter, The (1978)","Last of the Mohicans, The (1992)"
Demolition Man (1993),3.152173913043478,92,Ulee's Gold (1997),Seven Years in Tibet (1997),Alien: Resurrection (1997),G.I. Jane (1997)
Denise Calls Up (1995),3.0,7,"Peacemaker, The (1997)",Conan the Barbarian (1981),"Crow, The (1994)","Edge, The (1997)"
Desert Winds (1995),4.0,1,-,-,-,-
"Designated Mourner, The (1997)",1.8571428571428572,7,2001: A Space Odyssey (1968),"Shawshank Redemption, The (1994)","Hudsucker Proxy, The (1994)",Mimic (1997)
Desperado (1995),3.4536082474226806,97,Being There (1979),Cinema Paradiso (1988),Brazil (1985),Dragonheart (1996)
Desperate Measures (1998),3.3194444444444446,72,Speed (1994),Basic Instinct (1992),Bound (1996),"Nightmare on Elm Street, A (1984)"
Destiny Turns on the Radio (1995),3.0,2,-,-,-,-
Devil in a Blue Dress (1995),3.3859649122807016,57,"Great Escape, The (1963)",Fly Away Home (1996),Ulee's Gold (1997),Bound (1996)
"Devil's Advocate, The (1997)",3.515957446808511,188,"Wrong Trousers, The (1993)","Close Shave, A (1995)",Down Periscope (1996),Welcome to the Dollhouse (1995)
"Devil's Own, The (1997)",3.1083333333333334,240,My Fair Lady (1964),"Peacemaker, The (1997)",Murder at 1600 (1997),Rosewood (1997)
Diabolique (1996),2.887323943661972,71,Like Water For Chocolate (Como agua para chocolate) (1992),Alien: Resurrection (1997),"Peacemaker, The (1997)","Magnificent Seven, The (1954)"
Dial M for Murder (1954),4.0,68,"Game, The (1997)",Kiss the Girls (1997),Good Will Hunting (1997),G.I. Jane (1997)
Die Hard (1988),3.8724279835390947,243,Die Hard: With a Vengeance (1995),Die Hard 2 (1990),Absolute Power (1997),Nikita (La Femme Nikita) (1990)
Die Hard 2 (1990),3.355421686746988,166,Die Hard: With a Vengeance (1995),Under Siege (1992),Murder at 1600 (1997),Die Hard (1988)
Die Hard: With a Vengeance (1995),3.2847682119205297,151,Die Hard 2 (1990),Die Hard (1988),Beautiful Girls (1996),Absolute Power (1997)
"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871,31,"Hunchback of Notre Dame, The (1996)",That Thing You Do! (1996),Some Like It Hot (1959),William Shakespeare's Romeo and Juliet (1996)
Dingo (1992),2.4,5,George of the Jungle (1997),Cold Comfort Farm (1995),Strictly Ballroom (1992),Cool Hand Luke (1967)
Dirty Dancing (1987),3.1020408163265305,98,Ghost (1990),Good Will Hunting (1997),Pretty Woman (1990),"First Wives Club, The (1996)"
Disclosure (1994),3.0,40,"Remains of the Day, The (1993)",Secrets & Lies (1996),Big Night (1996),Being There (1979)
Diva (1981),3.727272727272727,66,"Cable Guy, The (1996)",Tombstone (1993),Clear and Present Danger (1994),Chinatown (1974)
Dolores Claiborne (1994),3.3417721518987342,79,Seven Years in Tibet (1997),Harold and Maude (1971),Emma (1996),Bound (1996)
Don Juan DeMarco (1995),3.5526315789473686,76,Ulee's Gold (1997),True Romance (1993),Star Trek VI: The Undiscovered Country (1991),Real Genius (1985)
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7714285714285714,35,Patton (1970),Ben-Hur (1959),Arsenic and Old Lace (1944),Much Ado About Nothing (1993)
Donnie Brasco (1997),3.802721088435374,147,Dumbo (1941),"Adventures of Priscilla, Queen of the Desert, The (1994)","Crow, The (1994)",GoldenEye (1995)
"Doom Generation, The (1995)",2.7142857142857144,7,Primal Fear (1996),Shine (1996),Leaving Las Vegas (1995),Like Water For Chocolate (Como agua para chocolate) (1992)
"Doors, The (1991)",2.9782608695652173,46,Volcano (1997),"Mask, The (1994)",101 Dalmatians (1996),Michael (1996)
Double Happiness (1994),3.4285714285714284,7,"Hunt for Red October, The (1990)","Craft, The (1996)",Star Trek: First Contact (1996),Dante's Peak (1997)
Double Team (1997),2.230769230769231,13,Fried Green Tomatoes (1991),In the Name of the Father (1993),Ulee's Gold (1997),"Adventures of Priscilla, Queen of the Desert, The (1994)"
"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817,22,Volcano (1997),Stargate (1994),Executive Decision (1996),Star Trek: The Motion Picture (1979)
Down Periscope (1996),2.702970297029703,101,"Ice Storm, The (1997)","Devil's Advocate, The (1997)",Crash (1996),GoldenEye (1995)
Down by Law (1986),3.7714285714285714,35,Hoop Dreams (1994),One Fine Day (1996),Primal Fear (1996),Mystery Science Theater 3000: The Movie (1996)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629,194,"Sex, Lies, and Videotape (1989)",James and the Giant Peach (1996),Natural Born Killers (1994),True Romance (1993)
Dracula: Dead and Loving It (1995),2.28,25,Arsenic and Old Lace (1944),In the Name of the Father (1993),"Room with a View, A (1986)",Platoon (1986)
Dragonheart (1996),3.0822784810126582,158,"Ghost and the Darkness, The (1996)",Murder at 1600 (1997),Jungle2Jungle (1997),"Craft, The (1996)"
Dream Man (1995),1.5,2,Ulee's Gold (1997),"Remains of the Day, The (1993)","Boot, Das (1981)",Bonnie and Clyde (1967)
Dream With the Fishes (1997),3.142857142857143,7,Philadelphia (1993),Dances with Wolves (1990),Field of Dreams (1989),"First Wives Club, The (1996)"
Drop Dead Fred (1991),2.75,24,Michael (1996),"Killing Fields, The (1984)",Absolute Power (1997),Kolya (1996)
Drop Zone (1994),2.5483870967741935,31,Murder at 1600 (1997),"Postino, Il (1994)","Room with a View, A (1986)",Crash (1996)
Drunks (1995),2.8,5,Stargate (1994),"Bridge on the River Kwai, The (1957)",Cinema Paradiso (1988),Starship Troopers (1997)
Duck Soup (1933),4.0,93,Ulee's Gold (1997),Rosewood (1997),Stargate (1994),Under Siege (1992)
Dumb & Dumber (1994),3.0,69,Happy Gilmore (1996),Kolya (1996),Scream 2 (1997),"Hudsucker Proxy, The (1994)"
Dumbo (1941),3.4959349593495936,123,Pinocchio (1940),Donnie Brasco (1997),Snow White and the Seven Dwarfs (1937),Rosewood (1997)
Dunston Checks In (1996),1.8571428571428572,7,Nikita (La Femme Nikita) (1990),North by Northwest (1959),"First Wives Club, The (1996)",Absolute Power (1997)
Duoluo tianshi (1995),3.1666666666666665,6,What's Eating Gilbert Grape (1993),Seven Years in Tibet (1997),Searching for Bobby Fischer (1993),Butch Cassidy and the Sundance Kid (1969)
E.T. the Extra-Terrestrial (1982),3.8333333333333335,300,Some Like It Hot (1959),Pinocchio (1940),"Firm, The (1993)",Ghost (1990)
East of Eden (1955),3.864406779661017,59,Star Trek: The Motion Picture (1979),Dante's Peak (1997),Down Periscope (1996),Miracle on 34th Street (1994)
Eat Drink Man Woman (1994),4.05,80,True Romance (1993),"Close Shave, A (1995)",Strictly Ballroom (1992),Crimson Tide (1995)
Ed (1996),1.3333333333333333,6,Beautiful Girls (1996),Forrest Gump (1994),"Fugitive, The (1993)",Chasing Amy (1997)
Ed Wood (1994),3.601503759398496,133,"Edge, The (1997)",Sling Blade (1996),"Hunchback of Notre Dame, The (1996)",Raging Bull (1980)
Ed's Next Move (1996),2.6666666666666665,3,Secrets & Lies (1996),Broken Arrow (1996),Field of Dreams (1989),Leaving Las Vegas (1995)
Eddie (1996),2.7,40,"Philadelphia Story, The (1940)",Vertigo (1958),Scream 2 (1997),"Boot, Das (1981)"
"Edge, The (1997)",3.5398230088495577,113,"Philadelphia Story, The (1940)",Jungle2Jungle (1997),Ace Ventura: Pet Detective (1994),This Is Spinal Tap (1984)
"Eighth Day, The (1996)",3.0,1,-,-,-,-
Emma (1996),3.7175141242937855,177,Sense and Sensibility (1995),Stargate (1994),"Crying Game, The (1992)",Batman Forever (1995)
"Empire Strikes Back, The (1980)",4.206521739130435,368,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Philadelphia Story, The (1940)"
Enchanted April (1991),3.9285714285714284,70,Kiss the Girls (1997),"Edge, The (1997)",Tombstone (1993),Jackie Brown (1997)
"Endless Summer 2, The (1994)",2.5,10,Ulee's Gold (1997),Natural Born Killers (1994),Star Trek: The Motion Picture (1979),Bram Stoker's Dracula (1992)
"Enfer, L' (1994)",3.0,4,"Sting, The (1973)","Boot, Das (1981)",Bram Stoker's Dracula (1992),Ben-Hur (1959)
"English Patient, The (1996)",3.656964656964657,481,Unforgiven (1992),"Postino, Il (1994)",Schindler's List (1993),"Last of the Mohicans, The (1992)"
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375,32,Down Periscope (1996),"Edge, The (1997)","Craft, The (1996)","Ice Storm, The (1997)"
Entertaining Angels: The Dorothy Day Story (1996),5.0,1,-,-,-,-
Eraser (1996),3.150485436893204,206,Down Periscope (1996),Miracle on 34th Street (1994),Multiplicity (1996),Jungle2Jungle (1997)
Escape from L.A. (1996),2.4615384615384617,91,Rosewood (1997),"Ice Storm, The (1997)",Vertigo (1958),Little Women (1994)
Escape from New York (1981),3.241758241758242,91,Scream 2 (1997),In & Out (1997),Kiss the Girls (1997),Star Trek: Generations (1994)
Escape to Witch Mountain (1975),2.966666666666667,30,Cop Land (1997),Jackie Brown (1997),Cold Comfort Farm (1995),"Ghost and the Darkness, The (1996)"
Etz Hadomim Tafus (Under the Domin Tree) (1994),2.0,1,-,-,-,-
Eve's Bayou (1997),3.609375,64,Being There (1979),Star Trek: Generations (1994),Conan the Barbarian (1981),Pinocchio (1940)
Even Cowgirls Get the Blues (1993),2.0,5,Benny & Joon (1993),Bram Stoker's Dracula (1992),Quiz Show (1994),"Professional, The (1994)"
"Evening Star, The (1996)",2.9310344827586206,29,Patton (1970),"Nightmare on Elm Street, A (1984)","Edge, The (1997)",Arsenic and Old Lace (1944)
Event Horizon (1997),2.574803149606299,127,"Nightmare on Elm Street, A (1984)",Waterworld (1995),Real Genius (1985),"Long Kiss Goodnight, The (1996)"
Everest (1998),4.5,2,"Sound of Music, The (1965)",Grease (1978),Grosse Pointe Blank (1997),Fried Green Tomatoes (1991)
Every Other Weekend (1990),1.0,1,-,-,-,-
Everyone Says I Love You (1996),3.2738095238095237,168,Real Genius (1985),"Abyss, The (1989)",Butch Cassidy and the Sundance Kid (1969),Star Trek: Generations (1994)
Evil Dead II (1987),3.5168539325842696,89,"Peacemaker, The (1997)",Army of Darkness (1993),Rumble in the Bronx (1995),Mother (1996)
Evita (1996),2.9806949806949805,259,Waterworld (1995),"Mask, The (1994)",Grease (1978),Ace Ventura: Pet Detective (1994)
Excess Baggage (1997),2.5384615384615383,52,Star Trek: Generations (1994),"Remains of the Day, The (1993)","Crow, The (1994)","Room with a View, A (1986)"
Executive Decision (1996),3.356687898089172,157,Rosewood (1997),Jungle2Jungle (1997),Dante's Peak (1997),Pinocchio (1940)
Exit to Eden (1994),2.75,16,Kolya (1996),Ulee's Gold (1997),G.I. Jane (1997),"Good, The Bad and The Ugly, The (1966)"
Exotica (1994),3.5555555555555554,27,"Remains of the Day, The (1993)","Wrong Trousers, The (1993)","Sex, Lies, and Videotape (1989)",Being There (1979)
Extreme Measures (1996),3.171875,64,"Blues Brothers, The (1980)","American President, The (1995)",Cool Hand Luke (1967),Dave (1993)
Eye for an Eye (1996),3.03125,32,Stargate (1994),Henry V (1989),Searching for Bobby Fischer (1993),"African Queen, The (1951)"
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,1,-,-,-,-
Face/Off (1997),3.768041237113402,194,"American President, The (1995)","Rock, The (1996)",Dave (1993),"Nutty Professor, The (1996)"
Faces (1968),3.0,4,"Terminator, The (1984)",Platoon (1986),Sense and Sensibility (1995),Star Trek IV: The Voyage Home (1986)
Fair Game (1995),2.1818181818181817,11,"Sex, Lies, and Videotape (1989)","Magnificent Seven, The (1954)","Manchurian Candidate, The (1962)",In the Name of the Father (1993)
FairyTale: A True Story (1997),2.966666666666667,30,What's Eating Gilbert Grape (1993),Bound (1996),Annie Hall (1977),12 Angry Men (1957)
Faithful (1996),3.3,10,Bonnie and Clyde (1967),2001: A Space Odyssey (1968),"Hudsucker Proxy, The (1994)",Harold and Maude (1971)
Fall (1997),2.0,3,"Saint, The (1997)",Rosewood (1997),Murder at 1600 (1997),Fly Away Home (1996)
Fallen (1998),3.1463414634146343,41,"African Queen, The (1951)","Killing Fields, The (1984)",Citizen Kane (1941),Much Ado About Nothing (1993)
Falling in Love Again (1980),1.0,2,-,-,-,-
"Family Thing, A (1996)",3.5555555555555554,45,Platoon (1986),"Close Shave, A (1995)",Vertigo (1958),Ulee's Gold (1997)
"Fan, The (1996)",3.09375,64,"Manchurian Candidate, The (1962)",Like Water For Chocolate (Como agua para chocolate) (1992),Fly Away Home (1996),Little Women (1994)
Fantasia (1940),3.7701149425287355,174,Rosewood (1997),Secrets & Lies (1996),M*A*S*H (1970),Kiss the Girls (1997)
Far From Home: The Adventures of Yellow Dog (1995),3.2857142857142856,7,Brazil (1985),Strictly Ballroom (1992),Clerks (1994),Cool Hand Luke (1967)
Farewell My Concubine (1993),3.9782608695652173,46,Waterworld (1995),"Manchurian Candidate, The (1962)",Gattaca (1997),Clueless (1995)
"Farewell to Arms, A (1932)",3.8333333333333335,12,Sneakers (1992),"Saint, The (1997)","Manchurian Candidate, The (1962)",Pretty Woman (1990)
Fargo (1996),4.155511811023622,508,Sling Blade (1996),Lone Star (1996),Quiz Show (1994),Lawrence of Arabia (1962)
Farinelli: il castrato (1994),3.1176470588235294,17,Seven Years in Tibet (1997),Everyone Says I Love You (1996),Down Periscope (1996),Mother (1996)
Farmer & Chase (1995),4.0,1,-,-,-,-
"Fast, Cheap & Out of Control (1997)",3.4375,32,Die Hard: With a Vengeance (1995),Pink Floyd - The Wall (1982),"Philadelphia Story, The (1940)","Net, The (1995)"
Faster Pussycat! Kill! Kill! (1965),3.0,7,Butch Cassidy and the Sundance Kid (1969),Good Will Hunting (1997),George of the Jungle (1997),Some Like It Hot (1959)
Fatal Instinct (1993),2.6315789473684212,19,Evita (1996),Bound (1996),"Hunchback of Notre Dame, The (1996)","Remains of the Day, The (1993)"
Father of the Bride (1950),3.5833333333333335,60,Tomorrow Never Dies (1997),Jackie Brown (1997),Gattaca (1997),Rosewood (1997)
Father of the Bride Part II (1995),2.8984375,128,"Ice Storm, The (1997)",While You Were Sleeping (1995),Scream 2 (1997),Grumpier Old Men (1995)
Fathers' Day (1997),2.5806451612903225,31,Sabrina (1995),Henry V (1989),Absolute Power (1997),Fly Away Home (1996)
Faust (1994),4.2,5,Contact (1997),Jackie Chan's First Strike (1996),Lost Highway (1997),Fly Away Home (1996)
Fausto (1993),3.0,3,Heathers (1989),Seven (Se7en) (1995),Get Shorty (1995),Top Gun (1986)
"Favor, The (1994)",2.0,1,-,-,-,-
Fear (1996),3.159090909090909,44,Cinema Paradiso (1988),Henry V (1989),Beautiful Girls (1996),Singin' in the Rain (1952)
Fear of a Black Hat (1993),3.2,10,Natural Born Killers (1994),Kiss the Girls (1997),Twister (1996),Leaving Las Vegas (1995)
"Fear, The (1995)",3.0,1,-,-,-,-
Fearless (1993),3.24,25,"Ice Storm, The (1997)","Lost World: Jurassic Park, The (1997)",Cold Comfort Farm (1995),Alien: Resurrection (1997)
Feast of July (1995),2.4,5,"Last of the Mohicans, The (1992)","Bridge on the River Kwai, The (1957)",Tin Cup (1996),Benny & Joon (1993)
Feeling Minnesota (1996),2.625,32,Butch Cassidy and the Sundance Kid (1969),Jungle2Jungle (1997),Tombstone (1993),Ben-Hur (1959)
Female Perversions (1996),2.625,8,Mystery Science Theater 3000: The Movie (1996),Benny & Joon (1993),"Nightmare Before Christmas, The (1993)","Fifth Element, The (1997)"
Field of Dreams (1989),3.69811320754717,212,"Lost World: Jurassic Park, The (1997)",Back to the Future (1985),Forrest Gump (1994),It's a Wonderful Life (1946)
Fierce Creatures (1997),3.1145833333333335,96,Rosewood (1997),"Mask, The (1994)",Ghost (1990),G.I. Jane (1997)
"Fifth Element, The (1997)",3.4771573604060912,197,Brazil (1985),"Hudsucker Proxy, The (1994)",Beavis and Butt-head Do America (1996),Nikita (La Femme Nikita) (1990)
"Fille seule, La (A Single Girl) (1995)",4.0,4,Fly Away Home (1996),"Wizard of Oz, The (1939)",Cold Comfort Farm (1995),Cool Hand Luke (1967)
Fire Down Below (1997),2.9318181818181817,44,"African Queen, The (1951)","Killing Fields, The (1984)",Cool Hand Luke (1967),"Ghost and the Darkness, The (1996)"
Fire on the Mountain (1996),3.0,1,-,-,-,-
Firestorm (1998),2.8333333333333335,18,Absolute Power (1997),True Romance (1993),Rumble in the Bronx (1995),Batman (1989)
"Firm, The (1993)",3.2781456953642385,151,True Lies (1994),"Ghost and the Darkness, The (1996)",Pretty Woman (1990),"American President, The (1995)"
First Kid (1996),2.925,40,Patton (1970),Cop Land (1997),"Devil's Advocate, The (1997)","Close Shave, A (1995)"
First Knight (1995),3.0232558139534884,86,Grumpier Old Men (1995),Kolya (1996),Down Periscope (1996),Michael (1996)
"First Wives Club, The (1996)",3.01875,160,Young Guns (1988),Little Women (1994),Arsenic and Old Lace (1944),"Manchurian Candidate, The (1962)"
"Fish Called Wanda, A (1988)",3.785425101214575,247,"Philadelphia Story, The (1940)","Abyss, The (1989)",Rosewood (1997),Young Guns (1988)
Fled (1996),2.6470588235294117,34,"Deer Hunter, The (1978)","African Queen, The (1951)",Secrets & Lies (1996),Rosewood (1997)
Flesh and Bone (1993),2.8333333333333335,6,Crash (1996),Lone Star (1996),Miracle on 34th Street (1994),GoldenEye (1995)
"Flintstones, The (1994)",2.064516129032258,31,Spawn (1997),Singin' in the Rain (1952),"Hunchback of Notre Dame, The (1996)",Cold Comfort Farm (1995)
Flipper (1996),2.45,20,Donnie Brasco (1997),"Boot, Das (1981)","Crying Game, The (1992)","Adventures of Priscilla, Queen of the Desert, The (1994)"
Flirt (1995),3.6,5,Cold Comfort Farm (1995),"Professional, The (1994)",George of the Jungle (1997),Kingpin (1996)
Flirting With Disaster (1996),3.6904761904761907,42,Cold Comfort Farm (1995),As Good As It Gets (1997),One Fine Day (1996),"Deer Hunter, The (1978)"
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.1666666666666665,6,"Edge, The (1997)",Father of the Bride Part II (1995),"Long Kiss Goodnight, The (1996)",Miracle on 34th Street (1994)
Flubber (1997),2.7547169811320753,53,Mimic (1997),Lawrence of Arabia (1962),Stargate (1994),101 Dalmatians (1996)
Fluke (1995),2.4285714285714284,14,As Good As It Gets (1997),Emma (1996),Good Will Hunting (1997),"Rainmaker, The (1997)"
Fly Away Home (1996),3.6,180,Little Women (1994),Benny & Joon (1993),Ghost (1990),"Ghost and the Darkness, The (1996)"
"Fog, The (1980)",2.739130434782609,23,Boogie Nights (1997),Kiss the Girls (1997),Alien: Resurrection (1997),Happy Gilmore (1996)
Fools Rush In (1997),3.0,24,Cool Hand Luke (1967),Alien: Resurrection (1997),101 Dalmatians (1996),Spawn (1997)
For Ever Mozart (1996),2.0,3,In & Out (1997),Volcano (1997),Ulee's Gold (1997),Titanic (1997)
For Love or Money (1993),2.8333333333333335,12,Like Water For Chocolate (Como agua para chocolate) (1992),"Right Stuff, The (1983)",My Left Foot (1989),Jungle2Jungle (1997)
For Richer or Poorer (1997),2.4285714285714284,14,Fantasia (1940),Beavis and Butt-head Do America (1996),Absolute Power (1997),"Maltese Falcon, The (1941)"
For Whom the Bell Tolls (1943),4.0,20,Beautiful Girls (1996),Spawn (1997),Mystery Science Theater 3000: The Movie (1996),Everyone Says I Love You (1996)
For the Moment (1994),2.6666666666666665,3,"Saint, The (1997)",Father of the Bride Part II (1995),Chasing Amy (1997),"Time to Kill, A (1996)"
"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75,4,Dances with Wolves (1990),Fly Away Home (1996),"Usual Suspects, The (1995)",Lost Highway (1997)
Forbidden Planet (1956),3.8358208955223883,67,Scream 2 (1997),"Devil's Own, The (1997)",Clerks (1994),Conspiracy Theory (1997)
Foreign Correspondent (1940),3.8666666666666667,15,"Hunchback of Notre Dame, The (1996)","Lost World: Jurassic Park, The (1997)",Star Trek: Generations (1994),Sleepers (1996)
Foreign Student (1994),2.0,2,-,-,-,-
Forget Paris (1995),3.193548387096774,62,Kiss the Girls (1997),"Peacemaker, The (1997)",Jackie Brown (1997),Apt Pupil (1998)
Forrest Gump (1994),3.853582554517134,321,Field of Dreams (1989),"Firm, The (1993)","River Wild, The (1994)",Young Guns (1988)
Four Days in September (1997),3.75,12,Hoop Dreams (1994),Much Ado About Nothing (1993),Bonnie and Clyde (1967),Blade Runner (1982)
Four Rooms (1995),3.033333333333333,90,Seven Years in Tibet (1997),G.I. Jane (1997),In the Name of the Father (1993),Interview with the Vampire (1994)
Four Weddings and a Funeral (1994),3.6613545816733066,251,Seven Years in Tibet (1997),Amistad (1997),"Boot, Das (1981)","Nightmare on Elm Street, A (1984)"
"Fox and the Hound, The (1981)",3.1475409836065573,61,Kiss the Girls (1997),Donnie Brasco (1997),Shine (1996),Miracle on 34th Street (1994)
Foxfire (1996),2.933333333333333,15,"Game, The (1997)",True Romance (1993),Gattaca (1997),Cold Comfort Farm (1995)
Frankie Starlight (1995),2.5,4,Mother (1996),Vertigo (1958),Chinatown (1974),"Princess Bride, The (1987)"
Free Willy (1993),2.4545454545454546,33,Seven Years in Tibet (1997),"Philadelphia Story, The (1940)","Adventures of Priscilla, Queen of the Desert, The (1994)","Edge, The (1997)"
Free Willy 2: The Adventure Home (1995),2.1818181818181817,11,"Godfather: Part II, The (1974)",Taxi Driver (1976),"Time to Kill, A (1996)",G.I. Jane (1997)
Free Willy 3: The Rescue (1997),1.7407407407407407,27,Waterworld (1995),"Sex, Lies, and Videotape (1989)","Philadelphia Story, The (1940)",Arsenic and Old Lace (1944)
Freeway (1996),3.357142857142857,42,North by Northwest (1959),Patton (1970),"Peacemaker, The (1997)",Father of the Bride Part II (1995)
French Kiss (1995),3.3333333333333335,84,G.I. Jane (1997),Rosewood (1997),Absolute Power (1997),"Ghost and the Darkness, The (1996)"
French Twist (Gazon maudit) (1995),3.2051282051282053,39,Ben-Hur (1959),Tombstone (1993),Tomorrow Never Dies (1997),Die Hard: With a Vengeance (1995)
Fresh (1994),4.1,10,"Crow, The (1994)",Mars Attacks! (1996),Taxi Driver (1976),Bound (1996)
Friday (1995),3.4615384615384617,26,Gone with the Wind (1939),James and the Giant Peach (1996),Cold Comfort Farm (1995),Down Periscope (1996)
Fried Green Tomatoes (1991),3.764705882352941,153,Amistad (1997),Cinema Paradiso (1988),Jackie Brown (1997),Rosewood (1997)
"Frighteners, The (1996)",3.234782608695652,115,Amistad (1997),Young Guns (1988),Seven Years in Tibet (1997),Gattaca (1997)
Frisk (1995),2.6666666666666665,3,Mrs. Doubtfire (1993),Seven (Se7en) (1995),Courage Under Fire (1996),Schindler's List (1993)
From Dusk Till Dawn (1996),3.119565217391304,92,Mary Poppins (1964),True Romance (1993),Beavis and Butt-head Do America (1996),"Wizard of Oz, The (1939)"
"Fugitive, The (1993)",4.044642857142857,336,"Firm, The (1993)","Craft, The (1996)",Young Guns (1988),Jurassic Park (1993)
Full Metal Jacket (1987),3.6823529411764704,170,"Ice Storm, The (1997)",Ulee's Gold (1997),Beautiful Girls (1996),"Rainmaker, The (1997)"
"Full Monty, The (1997)",3.926984126984127,315,Army of Darkness (1993),Cinema Paradiso (1988),Kolya (1996),"Manchurian Candidate, The (1962)"
